word,part_of_speech,chinese,occurs,shots
abnormal,0,反常的,0,0
abolish,0,彻底废除（法律、制度、习俗等）,0,0
abrupt,0,突然的;意外的,0,0
absolute,0,纯粹的;完全的,0,0
absorb,0,吸收;吸进,0,0
abstract,0,抽象的,0,0
absurd,0,荒谬的;荒唐的,0,0
abuse,0,滥用,0,0
aaccelerate,0,加速;增速,0,0
access,0,接近（或进入）的机会,0,0
accommodate,0,使适应;使符合一致,0,0
accompany,0,陪伴;伴随,0,0
accomplish,0,达到（目的）;完成（任务）;实现（计划;诺言等）,0,0
accord,0,使符合;相一致,0,0
account,0,记述;叙述,0,0
accumulate,0,积累;积攒;积聚,0,0
accurate,0,准确的;精确的,0,0
accuse,0,指控;指责,0,0
accustom,0,使习惯于,0,0
acquaint,0,使认识;使了解,0,0
activate,0,使活动起来;使开始起作用;启动,0,0
acute,0,尖锐的;敏锐的,0,0
adapt,0,（使）适应,0,0
address,0,演说,0,0
adhere,0,黏附;附着,0,0
adjacent,0,临近的;毗邻的,0,0
adjoin,0,贴近;与...毗邻,0,0
administrate,0,掌管;料理...的事务,0,0
adolescent,0,（尤指16岁以下的）青少年,0,0
advance,0,使向前移动,0,0
advantage,0,有利条件;优点,0,0
adverse,0,不友好的;敌对的,0,0
advocate,0,拥护;提倡;主张,0,0
aesthetic,0,美学的;艺术的;审美,0,0
affliliate,0,使隶属（或附属）于;使成为会员,0,0
affirm,0,断言;申明,0,0
aggravate,0,加重;加剧;恶化,0,0
aggressive,0,侵犯的;侵略的,0,0
agitate,0,搅动（液体等）,1,0
alarm,0,惊恐;忧虑,0,0
alert,0,警惕的;留神的,0,0
alien,0,外国的,0,0
allege,0,断言;宣称,1,0
allocate,0,分配;分派;把...拨给,0,0
allied,0,结盟的;有关联的,0,0
allow,0,允给;准许;允许,0,0
allowance,0,津贴;补贴;零用钱,0,0
alter,0,改变;更改,0,0
alternate,0,交替;轮流,0,0
amateur,0,（艺术;科学等的）业余爱好者,1,1
amaze,0,使惊愕;使惊异,0,0
ambiguous,0,含糊不清的;模棱两可的,0,0
ambition,0,（对名利等的）强烈欲望;野心,0,0
amend,0,修改;修订,0,0
amuse,0,逗乐;逗笑;给...提供娱乐（或消遣）,0,0
anchor,0,锚,0,0
announce,0,宣布;声称,0,0
annoy,0,使恼怒;使生气,0,0
annual,0,每年的;年度的,0,0
anonymous,0,匿名的;无名的,0,0
answer,0,回答;响应,0,0
anticipate,0,预期;预料,0,0
anxious,0,焦虑的;发愁的,0,0
apart,0,成零碎,0,0
apparent,0,显然的;明明白白的,0,0
appeal,0,呼吁;恳求,0,0
applaud,0,鼓掌;喝彩;叫好,0,0
apply,0,涂;敷,0,0
appoint,0,任命;委派,0,0
appraise,0,估量;估计,0,0
appreciate,0,感激,0,0
apprehend,0,对...担心,0,0
approach,0,靠近;接近,0,0
appropriate,0,恰当的;相称的,0,0
approve,0,赞成;同意,0,0
approximate,0,大概的;大约的;近似的,0,0
apt,0,（习性）易于......的;有......倾向的,0,0
arbitrary,0,随心所欲的;个人武断的;任意的,0,0
arise,0,起立;起身,0,0
arouse,0,使......奋发,0,0
array,0,排列;队形,0,0
articulate,0,发音清晰的;善于表达的,0,0
artificial,0,人工的;人造的;人为的,0,0
ascend,0,登高;（渐渐）上升;升高,0,0
ascertain,0,查明;弄清;确定,0,0
ashamed,0,惭愧的;羞耻的,0,0
ashore,0,向岸;向陆地,0,0
aside,0,在旁边,0,0
assault,0,攻击;袭击,0,0
assemble,0,集合;召集,0,0
assert,0,肯定地说（出）;坚定地断言,0,0
assess,0,估价;评价;评论,0,0
assign,0,分配;布置（作业）,0,0
assimilate,0,吸收;消化,0,0
associate,0,（使）联系;（使）结合,0,0
assume,0,假定;假设,0,0
assure,0,深信不疑地对......说;向......保证,0,0
assurance,0,保证;把握;信心,1,0
astonish,0,使惊讶,0,0
attach,0,系;贴;连接,0,0
attain,0,达到;获得,0,0
attend,0,出席;参加（会议等）,0,0
attendance,0,出席;参加;出席人数;出席率,0,0
attentive,0,注意的;专心的,1,0
attribute,0,把归因于;把......（过错的责任等）归于,0,0
auxiliary,0,辅助的,0,0
avail,0,有利于;有助于,1,0
average,0,平均数;平均,0,0
avert,0,挡开;防止;避免,0,0
awake,0,醒;觉醒,0,0
award,0,授予（奖品等）,0,0
ban,0,（以官方明令）禁止;取缔,0,0
bang,0,（突发的）,0,0
bar,0,条;块;杆;棒,0,0
bare,0,赤裸的;光秃的;空无内容的,0,0
beforehand,0,预先;事先,0,0
behave,0,举止端正;听话,0,0
bewilder,0,使迷惑;使糊涂,0,0
bias,0,偏见;偏心,0,0
blame,0,责备;责怪,0,0
blast,0,一阵（风）;一股（气流）,0,0
blaze,0,火焰,0,0
blunt,0,钝的,0,0
blush,0,（因害羞、激动、窘困）脸红,0,0
boast,0,自吹自擂;自夸的话,0,0
bolt,0,螺栓;（门;窗的）插销,0,0
boom,0,低沉有回响的声音,0,0
border,0,边界;边境;边沿,0,0
bore,0,钻孔;挖（通道）,0,0
bounce,0,弹起;反弹,0,0
bound,0,跳跃;弹回,0,0
boycott,0,（联合起来）抑制;拒绝参加,0,0
brace,0,托架;支架,0,0
breed,0,（使）繁殖,0,0
bribe,0,贿赂,0,0
brief,0,短暂的;简短的;简洁的,0,0
brisk,0,轻快的;生气勃勃的,0,0
brittle,0,易碎的;一碰就破的,0,0
brush,0,刷子;毛刷,0,0
bump,0,碰;撞,0,0
burst,0,爆炸;爆裂,0,0
calculate,0,计算;推算,0,0
call,0,喊;叫,0,0
cancel,0,取消;废除;删去,0,0
capture,0,俘虏;捕获,0,0
case,0,事例;事实;事情,0,0
cast,0,投;扔;抛;撒;掷,0,0
casual,0,偶然的;无计划的;随便的;非正式的,0,0
cease,0,停止;终止;结束,0,0
certify,0,证明;证实,0,0
challenge,0,向...挑战,0,0
character,0,（事物的）性质;特质,0,0
charge,0,要（价）;收（费）,0,0
charm,0,魅力;魔力,0,0
chase,0,追逐;追求,0,0
check,0,使突然停止;制止,0,0
cherish,0,珍爱;珍视,0,0
chew,0,嚼;咀嚼,0,0
choke,0,窒息;噎住,0,0
chorus,0,合唱队,0,0
chronic,0,（疾病）慢性的;（人）久病的,0,0
clarity,0,澄清;阐明,0,0
cling,0,粘着,0,0
clumsy,0,笨拙的,0,0
cluster,0,（果实;花等的）串;束;簇;,0,0
clutch,0,紧抓;紧握,0,0
coherent,0,一致的;协调的,0,0
coin,0,硬币;钱币;金属货币,0,0
coincide,0,相符;相一致,0,0
collaborate,0,（尤指在文艺、科学等方面）合作;协作,0,0
collapse,0,倒坍;崩溃;瓦解,0,0
collide,0,碰撞;互撞,0,0
come,0,来;来到,1,0
commemorate,0,纪念;庆祝,0,0
commend,0,表扬;称赞,0,0
compact,0,紧密的;坚实的,0,0
compare,0,比较;对照,0,0
compatible,0,能和睦相处的;合的来的,1,0
compile,0,汇编;编制,0,0
comply,0,遵从;顺从;服从,0,0
compose,0,组成;构成,0,0
compress,0,压缩,0,0
comprise,0,包含;包括,0,0
compromise,0,妥协;折衷,0,0
compulsory,0,必须做的;义务的,0,0
conceal,0,隐藏;隐瞒;隐蔽,0,0
conceive,0,构想出;设想,0,0
concentrate,0,集中;专心,0,0
condemn,0,谴责,0,0
condense,0,（使）压缩;（使）凝结;使简洁,0,0
confer,0,商谈;商议,0,0
confess,0,坦白;供认;承认;忏悔,0,0
confidence,0,信任,0,0
confine,0,限制;使局限,0,0
confirm,0,证实;肯定,0,0
conflict,0,（尤指长期的）战争;战斗,0,0
conform,0,遵照;适应,0,0
confront,0,（使）面临;（使）遭遇,0,0
confuse,0,使混乱;混淆,0,0
connect,0,连接;连接,0,0
conscious,0,意识到的;自觉地,0,0
consent,0,同意;赞同;准许,0,0
conserve,0,保护;保藏;保存,0,0
consider,0,考虑;细想,2,2
consist,0,组成;构成,0,0
consolidate,0,巩固;加强,0,0
conspicuous,0,显眼的;明显的;引人瞩目的,0,0
constant,0,经常的;不断的,0,0
constitute,0,组成;构成,0,0
consult,0,请教;与......商量,0,0
consume,0,消费;花费;,0,0
contact,0,接触;联系;交往;,0,0
contain,0,包括;容纳,0,0
contaminate,0,弄脏;污染;玷污;毒害;,0,0
contempt,0,轻视;轻蔑;,0,0
contest,0,竞赛;比赛;竞争;,0,0
contract,0,合同;契约;,0,0
contradict,0,反驳;同….相矛盾;同….相抵触;,0,0
contrary,0,相反的;对抗的;,0,0
contrast,0,对照;对比;(对比之下显出的)差异;,0,0
contribute,0,捐(款等);捐献;,0,0
contrive,0,设计;想出;,1,0
controversy,0,(尤之以文字形式进行的争论);辨证;,0,0
convention,0,(正式)会议;(定期)大会;,0,0
convert,0,转变;转化;,0,0
convey,0,运送;输送;传送;,0,0
convict,0,(经审讯)证明…有罪;宣判…有罪;,0,0
coordinate,0,调节;协调;,0,0
cordial,0,热情友好的;热诚的;真心的;,0,0
correspond,0,相符合相称(to;with);,1,0
correspondent,0,通信者;通讯员;记者;,0,0
corresponding,0,符合的;一致的;,1,0
corrode,0,(渐渐)损害;(一点一点地)损伤;,0,0
corrupt,0,堕落的;腐败的;贪赃舞弊的;,0,0
count,0,数;计算;,0,0
course,0,课程;科目;,0,0
courtesy,0,谦恭有礼。有礼的举止（或）言辞;,0,0
credit,0,信任;可信性,0,0
crucial,0,决定性的;关键性的;,0,0
cue,0,提示;暗号;信号;,0,0
cultivate,0,耕作;栽培;养殖;,0,0
cure,0,治愈;医治,0,0
cut,0,切;割;剪;砍;削;,0,0
dawn,0,黎明;拂晓,0,0
dazzle,0,（强光等）使目眩;耀眼;,0,0
deceive,0,欺骗;蒙蔽;,0,0
decent,0,体面的;像样的;,0,0
decline,0,拒绝;谢绝;,0,0
decompose,0,分解;腐烂;腐败;,0,0
dedicate,0,奉献;把。。。用在（to）;,0,0
deduce,0,演绎;推论;,0,0
define,0,解释;给。。。下定义;,0,0
deform,0,(使)变形;,0,0
defy,0,公然违抗;反抗;,0,0
degenerate,0,衰退;堕落;变坏（into）;,0,0
deliberate,0,慎重的;深思熟虑的;,0,0
delight,0,高兴;快乐;,0,0
deliver,0,投递;传送;运输;,0,0
demonstrate,0,论证;证明,0,0
denote,0,表示;是。。。的标志;意思是;,0,0
dense,0,稠密的;密集的;,0,0
